id,classificacao_da_ocorrencia,dt_da_ocorrencia,municipio,uf,regiao,fabricante,modelo
33427,Incidente,2022-08-08,RECIFE,PE,Nordeste,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR-72-212A
34087,Incidente,2022-09-05,"MONTES CLAROS,",MG,Sudeste,NEIVA,EMB-712
34206,Incidente,2022-09-22,QUERÊNCIA,MT,Centro-Oeste,EUROCOPTER FRANCE,EC 130 B4
34687,Incidente,2022-10-21,GOIÂNIA,GO,Centro-Oeste,BOEING COMPANY,737-8EH
34907,Ocorrência Anormal,2022-10-28,NOVO ARIPUANÃ,AM,Norte,CESSNA AIRCRAFT,208B
34926,Incidente,2022-11-09,SALVADOR,BA,Nordeste,SIKORSKY AIRCRAFT,S-76C
34688,Incidente,2022-10-15,VÁRZEA GRANDE,MT,Centro-Oeste,AIRBUS S.A.S.,A320-251N
35026,Acidente,2022-11-16,SANTA VITÓRIA DO PALMAR,RS,Sul,NEIVA,EMB-201A
35027,Acidente,2022-11-04,ITIQUIRA,MT,Centro-Oeste,NEIVA,EMB-202
35027,Acidente,2022-11-04,ITIQUIRA,MT,Centro-Oeste,NEIVA,EMB-202
30084,Acidente,2021-08-26,DOIS VIZINHOS,PR,Sul,EMBRAER,EMB-810C
31706,Acidente,2022-03-27,GUARANI D'OESTE,SP,Sudeste,EMBRAER,EMB-202A
31706,Acidente,2022-03-27,GUARANI D'OESTE,SP,Sudeste,EMBRAER,EMB-202A
36408,Acidente,2023-02-19,CONTAGEM ,MG,Sudeste,SCHWEIZER,269C-1
36410,Acidente,2023-02-18,NOVO PROGRESSO,PA,Norte,,
41166,Incidente,2023-11-24,CONFINS,MG,Sudeste,AIRBUS S.A.S.,A320-214
41172,Incidente,2023-11-18,FLORIANÓPOLIS ,SC,Sul,BOEING COMPANY,737-8 MAX
41173,Incidente,2023-12-13,SÃO PAULO,SP,Sudeste,AIRBUS S.A.S.,A320-214
41606,Incidente,2023-12-31,UBERLÂNDIA,MG,Sudeste,AIRBUS S.A.S.,A320-273N
37220,Incidente,2023-05-08,ARAÇATUBA ,SP,Sudeste,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR-72-212A (500)
41229,Incidente,2023-10-29,GUARULHOS ,SP,Sudeste,AIRBUS S.A.S.,A320-214
31305,Incidente,2021-11-07,GUARULHOS,SP,Sudeste,EMBRAER,EMB-500
33927,Incidente,2022-08-29,FORTALEZA,CE,Nordeste,EMBRAER,ERJ 190-200 LR
37111,Incidente,2018-06-20,"Cidade do México, México",Exterior,,,
37112,Ocorrência de Solo,2018-04-27,"Cidade do México, México",Exterior,,,
37113,Ocorrência de Solo,2018-05-12," Cidade do México, México",Exterior,,,
37114,Acidente,2018-11-11,"LISBOA ,PORTUGAL",Exterior,,,
37117,Ocorrência Anormal,2023-04-24,BELO HORIZONTE,MG,Sudeste,EMBRAER,EMB-810C
35229,Acidente,2022-12-04,NÍSIA FLORESTA ,RN,Nordeste,CESSNA AIRCRAFT,150G
37114,Acidente,2018-11-11,"LISBOA ,PORTUGAL",Exterior,,,
37186,Ocorrência Anormal,2023-04-27, BELO HORIZONTE,MG,Sudeste,BEECH AIRCRAFT,95-B55
37207,Acidente,2023-05-07, VILA VELHA,ES,Sudeste,,P92 S ECHO
37287,Acidente,2023-05-14,JAGUARAÇU ,MG,Sudeste,S.G. AVIATION,STORM 300 B
37289,Incidente,2023-05-14,SÃO PAULO ,SP,Sudeste,BOEING COMPANY,737-8EH
37292,Incidente,2023-05-11,UBERLÂNDIA ,MG,Sudeste,AERO BOERO,AB-115
37293,Incidente,2023-05-06,PORTO ALEGRE ,RS,Sul,AIRBUS S.A.S.,A320-251N
37326,Incidente Grave,2020-01-19,"Mar del Plata, Argentina",Exterior,,,
37586,Incidente,2023-06-03,GOVERNADOR VALADARES ,MG,Sudeste,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR-72-212A (600)
37748,Incidente,2023-06-16,GUARULHOS ,SP,Sudeste,BEECH AIRCRAFT,B200
37806,Ocorrência Anormal,2023-06-22,BELO HORIZONTE,MG,Sudeste,HAWKER BEECHCRAFT,B200GT
37848,Incidente,2023-06-03,BRASÍLIA ,DF,Centro-Oeste,AIRBUS S.A.S.,A320-214
37886,Incidente,2023-06-21,PORTO ALEGRE ,RS,Sul,AIRBUS S.A.S.,A320-251N
37928,Incidente,2023-06-27,OURILÂNDIA DO NORTE ,PA,Norte,CESSNA AIRCRAFT,U206F
37929,Incidente,2023-06-24,SALVADOR ,BA,Nordeste,EMBRAER,EMB-110P1
38215,Incidente,2023-07-05,SÃO PAULO ,SP,Sudeste,AIRBUS S.A.S.,A320-214
27503,Incidente Grave,2021-03-11,PORTO VELHO,RO,Norte,BELL HELICOPTER,206L-4
